Event,Date,Time,Round,Subdivision,Gender
Team All-Around,24/07/2021,10:00,Qualification,Subdivision 1,Men
Team All-Around,24/07/2021,14:30,Qualification,Subdivision 2,Men
Team All-Around,24/07/2021,19:30,Qualification,Subdivision 3,Men
Team All-Around,26/07/2021,19:00,Final,–,Men
Individual All-Around,24/07/2021,10:00,Qualification,Subdivision 1,Men
Individual All-Around,24/07/2021,14:30,Qualification,Subdivision 2,Men
Individual All-Around,24/07/2021,19:30,Qualification,Subdivision 3,Men
Individual All-Around,28/07/2021,19:15,Final,–,Men
Horse Vault,24/07/2021,10:00,Qualification,Subdivision 1,Men
Horse Vault,24/07/2021,14:30,Qualification,Subdivision 2,Men
Horse Vault,24/07/2021,19:30,Qualification,Subdivision 3,Men
Horse Vault,2/08/2021,18:50,Final,–,Men
Floor Exercise,24/07/2021,10:00,Qualification,Subdivision 1,Men
Floor Exercise,24/07/2021,14:30,Qualification,Subdivision 2,Men
Floor Exercise,24/07/2021,19:30,Qualification,Subdivision 3,Men
Floor Exercise,1/08/2021,17:00,Final,–,Men
Pommelled Horse,24/07/2021,10:00,Qualification,Subdivision 1,Men
Pommelled Horse,24/07/2021,14:30,Qualification,Subdivision 2,Men
Pommelled Horse,24/07/2021,19:30,Qualification,Subdivision 3,Men
Pommelled Horse,1/08/2021,18:41,Final,–,Men
Rings,24/07/2021,10:00,Qualification,Subdivision 1,Men
Rings,24/07/2021,14:30,Qualification,Subdivision 2,Men
Rings,24/07/2021,19:30,Qualification,Subdivision 3,Men
Rings,2/08/2021,17:00,Final,–,Men
Parallel Bars,24/07/2021,10:00,Qualification,Subdivision 1,Men
Parallel Bars,24/07/2021,14:30,Qualification,Subdivision 2,Men
Parallel Bars,24/07/2021,19:30,Qualification,Subdivision 3,Men
Parallel Bars,3/08/2021,17:00,Final,–,Men
Horizontal Bar,24/07/2021,10:00,Qualification,Subdivision 1,Men
Horizontal Bar,24/07/2021,14:30,Qualification,Subdivision 2,Men
Horizontal Bar,24/07/2021,19:30,Qualification,Subdivision 3,Men
Horizontal Bar,3/08/2021,18:39,Final,–,Men
Team All-Around,25/07/2021,10:00,Qualification,Subdivision 1,Women
Team All-Around,25/07/2021,11:50,Qualification,Subdivision 2,Women
Team All-Around,25/07/2021,15:10,Qualification,Subdivision 3,Women
Team All-Around,25/07/2021,17:05,Qualification,Subdivision 4,Women
Team All-Around,25/07/2021,20:20,Qualification,Subdivision 5,Women
Team All-Around,27/07/2021,19:45,Final,–,Women
Individual All-Around,25/07/2021,10:00,Qualification,Subdivision 1,Women
Individual All-Around,25/07/2021,11:50,Qualification,Subdivision 2,Women
Individual All-Around,25/07/2021,15:10,Qualification,Subdivision 3,Women
Individual All-Around,25/07/2021,17:05,Qualification,Subdivision 4,Women
Individual All-Around,25/07/2021,20:20,Qualification,Subdivision 5,Women
Individual All-Around,29/07/2021,19:50,Final,–,Women
Floor Exercise,25/07/2021,10:00,Qualification,Subdivision 1,Women
Floor Exercise,25/07/2021,11:50,Qualification,Subdivision 2,Women
Floor Exercise,25/07/2021,15:10,Qualification,Subdivision 3,Women
Floor Exercise,25/07/2021,17:05,Qualification,Subdivision 4,Women
Floor Exercise,25/07/2021,20:20,Qualification,Subdivision 5,Women
Floor Exercise,2/08/2021,17:57,Final,–,Women
Horse Vault,25/07/2021,10:00,Qualification,Subdivision 1,Women
Horse Vault,25/07/2021,11:50,Qualification,Subdivision 2,Women
Horse Vault,25/07/2021,15:10,Qualification,Subdivision 3,Women
Horse Vault,25/07/2021,17:05,Qualification,Subdivision 4,Women
Horse Vault,25/07/2021,20:20,Qualification,Subdivision 5,Women
Horse Vault,1/08/2021,17:45,Final,–,Women
Uneven Bars,25/07/2021,10:00,Qualification,Subdivision 1,Women
Uneven Bars,25/07/2021,11:50,Qualification,Subdivision 2,Women
Uneven Bars,25/07/2021,15:10,Qualification,Subdivision 3,Women
Uneven Bars,25/07/2021,17:05,Qualification,Subdivision 4,Women
Uneven Bars,25/07/2021,20:20,Qualification,Subdivision 5,Women
Uneven Bars,1/08/2021,19:30,Final,–,Women
Balance Beam,25/07/2021,10:00,Qualification,Subdivision 1,Women
Balance Beam,25/07/2021,11:50,Qualification,Subdivision 2,Women
Balance Beam,25/07/2021,15:10,Qualification,Subdivision 3,Women
Balance Beam,25/07/2021,17:05,Qualification,Subdivision 4,Women
Balance Beam,25/07/2021,20:20,Qualification,Subdivision 5,Women
Balance Beam,3/08/2021,17:50,Final,–,Women
